article,description,category_broad,category_specific,spotify_url,pageid,canonical,display,thumbnail_source,thumbnail_width,thumbnail_height,extract
21_Savage,American rapper from Georgia,music,rapper,https://p.scdn.co/mp3-preview/0ee84d22da0c86b9f6d0d21735c869006d41ab5f?cid=774b29d4f13844c495f206cafdad9c86,50338260,21_Savage,21 Savage,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/21_Savage_2018.jpg/256px-21_Savage_2018.jpg,256,320,"Shayaa Bin Abraham-Joseph, better known by his stage name 21 Savage, is an American rapper."
6ix9ine,American rapper,music,rapper,,55914767,6ix9ine,6ix9ine,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/6ix9ine_June.png/149px-6ix9ine_June.png,149,320,"Daniel Hernandez, known professionally as 6ix9ine or Tekashi 6ix9ine, is an American rapper. He is known for his unconventional appearance, controversial behavior and brute-force screaming technique in some of his songs."
AJ_McLean,American male singer,music,singer,https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=774b29d4f13844c495f206cafdad9c86,675411,AJ_McLean,AJ McLean,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Aj_mclean_signature.jpg/320px-Aj_mclean_signature.jpg,320,276,"Alexander James ""AJ"" McLean is an American singer, songwriter, actor, dancer, and model. He is a member of the vocal group the Backstreet Boys."
Ademola_Lookman,English association football player,sports,soccer player,,48501213,Ademola_Lookman,Ademola Lookman,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Ademola_Lookman%2C_Charlton_%28cropped%29.jpg/257px-Ademola_Lookman%2C_Charlton_%28cropped%29.jpg,257,320,"Ademola Lookman Olajade Alade Aylola Lookman is an English professional footballer who plays for Everton of the Premier League, and for the England national under-21 team."
Aleksandr_Golovin_(footballer),Russian association football player,sports,soccer player,,45671849,Aleksandr_Golovin_(footballer),Aleksandr Golovin (footballer),https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Rus-Egy_%288%29.jpg/226px-Rus-Egy_%288%29.jpg,226,320,Aleksandr Sergeyevich Golovin is a Russian professional footballer who plays as a central midfielder for AS Monaco and the Russian national team.
Alex_Jones,"American radio host, author, conspiracy theorist and filmmaker",entertainment,radio host,,358934,Alex_Jones,Alex Jones,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Alex_Jones_Portrait_%28cropped%29.jpg/306px-Alex_Jones_Portrait_%28cropped%29.jpg,306,320,"Alexander Emric Jones is an American radio show host and conspiracy theorist. He hosts The Alex Jones Show from Austin, Texas, which airs on the Genesis Communications Network across the United States and online. Jones runs a website, Infowars.com, devoted to conspiracy theories and fake news, and the websites NewsWars and PrisonPlanet."
Alexandria_Ocasio-Cortez,American politician and activist,politics,politician,,54885332,Alexandria_Ocasio-Cortez,Alexandria Ocasio-Cortez,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Alexandria_Ocasio-Cortez_July_2018_%28cropped2%29.jpg/240px-Alexandria_Ocasio-Cortez_July_2018_%28cropped2%29.jpg,240,320,"Alexandria Ocasio-Cortez is an American politician, educator, and political activist. On June 26, 2018, Ocasio-Cortez won the Democratic primary in New York's 14th congressional district covering parts of the Bronx and Queens in New York City, defeating the incumbent Congressman, Democratic Caucus Chair Joe Crowley, in what has been described as the biggest upset victory in the 2018 midterm-election season. Ocasio-Cortez is a member of the Democratic Socialists of America and has been endorsed by various politically progressive organizations and people."
Alphonso_Davies,Canadian soccer player,sports,soccer player,,49538223,Alphonso_Davies,Alphonso Davies,,,,"Alphonso Boyle Davies is a Canadian professional soccer player who currently plays as a winger for Vancouver Whitecaps FC in Major League Soccer and Canada men's national soccer team. He is the first player born in the 2000s to play in an MLS match. Davies will join Bundesliga club Bayern Munich in January 2019, on a contract until 2023."
Alvin_Kamara,American football player,sports,NFL player,,52022543,Alvin_Kamara,Alvin Kamara,,,,Alvin Mentian Kamara is an American football running back for the New Orleans Saints of the National Football League (NFL). He played college football for the University of Tennessee and was drafted by the Saints in the third round of the 2017 NFL Draft.
Andrade_Cien_Almas,Mexican luchador,sports,luchador,,23637966,Andrade_Cien_Almas,Andrade Cien Almas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Manny_Andrade_NXT_Takeover_Dallas_2016.jpg/183px-Manny_Andrade_NXT_Takeover_Dallas_2016.jpg,183,320,"Manuel Alfonso Andrade Oropeza is a Mexican professional wrestler currently signed to WWE, performing on the SmackDown brand, under the ring name Andrade ""Cien"" Almas, and is a former, one-time NXT Champion as part of their NXT brand. He previously wrestled for Consejo Mundial de Lucha Libre (CMLL) from 2007 until 2015 under the ring name La Sombra."
