bin,binSize,pageviews_median,pageviews_sum,timestamp,article,level,change
7,30,0,14.955062113360183,20160219,21_Savage,0,false
8,30,0,0,20160225,21_Savage,0,false
9,30,0,0,20160327,21_Savage,0,false
10,30,666,20649.637718216014,20160426,21_Savage,4,true
11,30,855,25472.42666170837,20160526,21_Savage,4,false
12,30,1756,85404.72953557322,20160625,21_Savage,5,true
13,30,3090,100646.88901370805,20160725,21_Savage,6,true
14,30,3240,100855.76335400091,20160824,21_Savage,6,false
15,30,3681,119308.66649343625,20160923,21_Savage,6,false
16,30,6801,219180.73846364644,20161023,21_Savage,6,false
17,30,7946,261038.80751161493,20161121,21_Savage,6,false
18,30,6748,205526.20115397175,20161221,21_Savage,6,false
19,30,4581,161978.5057160427,20170120,21_Savage,6,false
20,30,5584,193616.91759289996,20170219,21_Savage,6,false
21,30,4232,130123.18739443045,20170322,21_Savage,6,false
22,30,3581,107368.09114909772,20170421,21_Savage,6,false
23,30,3278,103554.31415578868,20170521,21_Savage,6,false
24,30,12393,508746.2386045426,20170620,21_Savage,6,false
25,30,9049,289762.93012710684,20170720,21_Savage,6,false
26,30,6780,223438.65565682855,20170819,21_Savage,6,false
27,30,8681,285134.77076047007,20170918,21_Savage,6,false
28,30,9447,302126.61714214255,20171018,21_Savage,6,false
29,30,9577,293203.32456491527,20171116,21_Savage,6,false
30,30,9144,285584.55436331616,20171216,21_Savage,6,false
31,30,6973,212478.93086160658,20180115,21_Savage,6,false
32,30,6407,196781.7092582437,20180214,21_Savage,6,false
33,30,5953,184458.54705032072,20180317,21_Savage,6,false
34,30,5412,170753.33479928467,20180416,21_Savage,6,false
35,30,4907,155065.326660745,20180516,21_Savage,6,false
36,30,4706,148432.45715185197,20180615,21_Savage,6,false
37,30,3870,128721.9617655201,20180715,21_Savage,6,false
38,30,3642,124971.37559152953,20180814,21_Savage,6,false
39,30,3252,3252.0959618805173,20180913,21_Savage,6,false
29,30,566,11832.897919038815,20171129,6ix9ine,4,false
30,30,4999,138794.35779265536,20171216,6ix9ine,6,true
31,30,10426,309275.50874719914,20180115,6ix9ine,8,true
32,30,19068,583424.7630950221,20180214,6ix9ine,8,false
33,30,27605,955352.6449115122,20180317,6ix9ine,9,true
34,30,25117,794870.698417078,20180416,6ix9ine,9,false
35,30,23177,838790.0150876855,20180516,6ix9ine,9,false
36,30,26920,962547.116063866,20180615,6ix9ine,9,false
37,30,44198,1578255.0749885992,20180715,6ix9ine,9,false
38,30,34534,1101275.6119280953,20180814,6ix9ine,9,false
